PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0002_01,Earth,false,F/0/S,TRAPPIST-1e,24.0,false,109.0,9.0,25.0,549.0,44.0,Juanna Vines,true
0004_01,Earth,false,F/1/S,TRAPPIST-1e,16.0,false,303.0,70.0,151.0,565.0,2.0,Willy Santantines,true
0005_01,Earth,false,F/0/P,PSO J318.5-22,44.0,false,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,true
0006_01,Earth,false,F/2/S,TRAPPIST-1e,26.0,false,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,true
0006_02,Earth,true,G/0/S,TRAPPIST-1e,28.0,false,0.0,0.0,0.0,0.0,,Candra Jacostaffey,true
0007_01,Earth,false,F/3/S,TRAPPIST-1e,35.0,false,0.0,785.0,17.0,216.0,0.0,Andona Beston,true
0010_01,Earth,false,G/1/S,TRAPPIST-1e,48.0,false,719.0,1.0,65.0,0.0,24.0,Reney Baketton,false
0011_01,Earth,false,F/2/P,TRAPPIST-1e,28.0,false,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,true
0012_01,Earth,false,,TRAPPIST-1e,31.0,false,32.0,0.0,876.0,0.0,0.0,Justie Pooles,false
0015_01,Earth,false,F/4/P,55 Cancri e,24.0,false,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,false
0017_01,Earth,false,G/0/P,TRAPPIST-1e,0.0,false,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,true
0017_02,Earth,false,F/6/P,55 Cancri e,14.0,false,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,false
0020_01,Earth,true,E/0/S,TRAPPIST-1e,1.0,false,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,false
0020_02,Earth,true,E/0/S,55 Cancri e,49.0,false,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,false
0020_03,Earth,true,E/0/S,55 Cancri e,29.0,false,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,false
0020_04,Earth,false,E/0/S,TRAPPIST-1e,10.0,false,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,true
0020_05,Earth,true,E/0/S,PSO J318.5-22,1.0,false,,0.0,0.0,0.0,0.0,Mael Brantuarez,false
0020_06,Earth,false,E/0/S,TRAPPIST-1e,7.0,false,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,false
0025_01,Earth,false,F/6/S,TRAPPIST-1e,15.0,false,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,false
0030_01,Earth,false,G/4/S,TRAPPIST-1e,32.0,false,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,false
0036_01,Earth,false,F/8/S,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger,false
0038_01,Earth,false,F/10/S,55 Cancri e,20.0,false,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,false
